County,Twin_Cities,Pres_Election,Public_Transport(%),Travel_Time,Population,2012,2013,2014,2015,2016
Hennepin,Yes,Clinton,7.2,23.2,1237604,33,42,34,33,45
Dakota,Yes,Clinton,3.3,24,418432,19,19,10,11,28
Anoka,Yes,Trump,3.4,28.2,348652,25,12,16,11,20
St. Louis,No,Clinton,2.4,19.5,199744,11,19,8,16,19
Ramsey,Yes,Clinton,6.4,23.6,540653,19,12,12,18,15
Washington,Yes,Clinton,2.3,25.8,253128,8,10,8,12,13
Olmsted,No,Clinton,5.2,17.5,153039,2,12,8,14,12
Cass,No,Trump,0.9,23.3,28895,6,5,6,4,10
Pine,No,Trump,0.8,30.3,28879,14,7,4,9,10
Becker,No,Trump,0.5,22.7,33766,4,3,3,1,9
