name,mfr,type,calories,protein,fat,sodium,fiber,carbo,sugars,potass,vitamins,shelf,weight,cups,rating,cereal
100% Bran,Nabisco,Cold,70,4,1,130,10.0,5.0,6,280,25,Top,1.0,0.33,68.4,1
100% Natural Bran,Quaker Oats,Cold,120,3,5,15,2.0,8.0,8,135,0,Top,1.0,1.0,33.98,1
All-Bran,Kellogs,Cold,70,4,1,260,9.0,7.0,5,320,25,Top,1.0,0.33,59.43,1
All-Bran with Extra Fiber,Kellogs,Cold,50,4,0,140,14.0,8.0,0,330,25,Top,1.0,0.5,93.7,1
Almond Delight,Ralston Purina,Cold,110,2,2,200,1.0,14.0,8,-1,25,Top,1.0,0.75,34.38,1
Apple Cinnamon Cheerios,General Mills,Cold,110,2,2,180,1.5,10.5,10,70,25,Bottom,1.0,0.75,29.51,1
Apple Jacks,Kellogs,Cold,110,2,0,125,1.0,11.0,14,30,25,Middle,1.0,1.0,33.17,1
Basic 4,General Mills,Cold,130,3,2,210,2.0,18.0,8,100,25,Top,1.33,0.75,37.04,1
Bran Chex,Ralston Purina,Cold,90,2,1,200,4.0,15.0,6,125,25,Bottom,1.0,0.67,49.12,1
Bran Flakes,Post,Cold,90,3,0,210,5.0,13.0,5,190,25,Top,1.0,0.67,53.31,1
Cap'n'Crunch,Quaker Oats,Cold,120,1,2,220,0.0,12.0,12,35,25,Middle,1.0,0.75,18.04,1
Cheerios,General Mills,Cold,110,6,2,290,2.0,17.0,1,105,25,Bottom,1.0,1.25,50.76,1
Cinnamon Toast Crunch,General Mills,Cold,120,1,3,210,0.0,13.0,9,45,25,Middle,1.0,0.75,19.82,1
Clusters,General Mills,Cold,110,3,2,140,2.0,13.0,7,105,25,Top,1.0,0.5,40.4,1
Cocoa Puffs,General Mills,Cold,110,1,1,180,0.0,12.0,13,55,25,Middle,1.0,1.0,22.74,1
Corn Chex,Ralston Purina,Cold,110,2,0,280,0.0,22.0,3,25,25,Bottom,1.0,1.0,41.45,1
Corn Flakes,Kellogs,Cold,100,2,0,290,1.0,21.0,2,35,25,Bottom,1.0,1.0,45.86,1
Corn Pops,Kellogs,Cold,110,1,0,90,1.0,13.0,12,20,25,Middle,1.0,1.0,35.78,1
Count Chocula,General Mills,Cold,110,1,1,180,0.0,12.0,13,65,25,Middle,1.0,1.0,22.4,1
Cracklin' Oat Bran,Kellogs,Cold,110,3,3,140,4.0,10.0,7,160,25,Top,1.0,0.5,40.45,1
Cream of Wheat (Quick),Nabisco,Hot,100,3,0,80,1.0,21.0,0,-1,0,Middle,1.0,1.0,64.53,1
Crispix,Kellogs,Cold,110,2,0,220,1.0,21.0,3,30,25,Top,1.0,1.0,46.9,1
Crispy Wheat & Raisins,General Mills,Cold,100,2,1,140,2.0,11.0,10,120,25,Top,1.0,0.75,36.18,1
Double Chex,Ralston Purina,Cold,100,2,0,190,1.0,18.0,5,80,25,Top,1.0,0.75,44.33,1
Froot Loops,Kellogs,Cold,110,2,1,125,1.0,11.0,13,30,25,Middle,1.0,1.0,32.21,1
Frosted Flakes,Kellogs,Cold,110,1,0,200,1.0,14.0,11,25,25,Bottom,1.0,0.75,31.44,1
Frosted Mini-Wheats,Kellogs,Cold,100,3,0,0,3.0,14.0,7,100,25,Middle,1.0,0.8,58.35,1
"Fruit & Fibre Dates, Walnuts, and Oats",Post,Cold,120,3,2,160,5.0,12.0,10,200,25,Top,1.25,0.67,40.92,1
Fruitful Bran,Kellogs,Cold,120,3,0,240,5.0,14.0,12,190,25,Top,1.33,0.67,41.02,1
Fruity Pebbles,Post,Cold,110,1,1,135,0.0,13.0,12,25,25,Middle,1.0,0.75,28.03,1
Golden Crisp,Post,Cold,100,2,0,45,0.0,11.0,15,40,25,Bottom,1.0,0.88,35.25,1
Golden Grahams,General Mills,Cold,110,1,1,280,0.0,15.0,9,45,25,Middle,1.0,0.75,23.8,1
Grape Nuts Flakes,Post,Cold,100,3,1,140,3.0,15.0,5,85,25,Top,1.0,0.88,52.08,1
Grape-Nuts,Post,Cold,110,3,0,170,3.0,17.0,3,90,25,Top,1.0,0.25,53.37,1
Great Grains Pecan,Post,Cold,120,3,3,75,3.0,13.0,4,100,25,Top,1.0,0.33,45.81,1
Honey Graham Ohs,Quaker Oats,Cold,120,1,2,220,1.0,12.0,11,45,25,Middle,1.0,1.0,21.87,1
Honey Nut Cheerios,General Mills,Cold,110,3,1,250,1.5,11.5,10,90,25,Bottom,1.0,0.75,31.07,1
Honey-comb,Post,Cold,110,1,0,180,0.0,14.0,11,35,25,Bottom,1.0,1.33,28.74,1
Just Right Crunchy  Nuggets,Kellogs,Cold,110,2,1,170,1.0,17.0,6,60,100,Top,1.0,1.0,36.52,1
Just Right Fruit & Nut,Kellogs,Cold,140,3,1,170,2.0,20.0,9,95,100,Top,1.3,0.75,36.47,1
Kix,General Mills,Cold,110,2,1,260,0.0,21.0,3,40,25,Middle,1.0,1.5,39.24,1
Life,Quaker Oats,Cold,100,4,2,150,2.0,12.0,6,95,25,Middle,1.0,0.67,45.33,1
Lucky Charms,General Mills,Cold,110,2,1,180,0.0,12.0,12,55,25,Middle,1.0,1.0,26.73,1
Maypo,AM Home Food,Hot,100,4,1,0,0.0,16.0,3,95,25,Middle,1.0,1.0,54.85,1
"Muesli Raisins, Dates, & Almonds",Ralston Purina,Cold,150,4,3,95,3.0,16.0,11,170,25,Top,1.0,1.0,37.14,1
"Muesli Raisins, Peaches, & Pecans",Ralston Purina,Cold,150,4,3,150,3.0,16.0,11,170,25,Top,1.0,1.0,34.14,1
Mueslix Crispy Blend,Kellogs,Cold,160,3,2,150,3.0,17.0,13,160,25,Top,1.5,0.67,30.31,1
Multi-Grain Cheerios,General Mills,Cold,100,2,1,220,2.0,15.0,6,90,25,Bottom,1.0,1.0,40.11,1
Nut&Honey Crunch,Kellogs,Cold,120,2,1,190,0.0,15.0,9,40,25,Middle,1.0,0.67,29.92,1
Nutri-Grain Almond-Raisin,Kellogs,Cold,140,3,2,220,3.0,21.0,7,130,25,Top,1.33,0.67,40.69,1
Nutri-grain Wheat,Kellogs,Cold,90,3,0,170,3.0,18.0,2,90,25,Top,1.0,1.0,59.64,1
Oatmeal Raisin Crisp,General Mills,Cold,130,3,2,170,1.5,13.5,10,120,25,Top,1.25,0.5,30.45,1
Post Nat. Raisin Bran,Post,Cold,120,3,1,200,6.0,11.0,14,260,25,Top,1.33,0.67,37.84,1
Product 19,Kellogs,Cold,100,3,0,320,1.0,20.0,3,45,100,Top,1.0,1.0,41.5,1
Puffed Rice,Quaker Oats,Cold,50,1,0,0,0.0,13.0,0,15,0,Top,0.5,1.0,60.76,1
Puffed Wheat,Quaker Oats,Cold,50,2,0,0,1.0,10.0,0,50,0,Top,0.5,1.0,63.01,1
Quaker Oat Squares,Quaker Oats,Cold,100,4,1,135,2.0,14.0,6,110,25,Top,1.0,0.5,49.51,1
Quaker Oatmeal,Quaker Oats,Hot,100,5,2,0,2.7,-1.0,-1,110,0,Bottom,1.0,0.67,50.83,1
Raisin Bran,Kellogs,Cold,120,3,1,210,5.0,14.0,12,240,25,Middle,1.33,0.75,39.26,1
Raisin Nut Bran,General Mills,Cold,100,3,2,140,2.5,10.5,8,140,25,Top,1.0,0.5,39.7,1
Raisin Squares,Kellogs,Cold,90,2,0,0,2.0,15.0,6,110,25,Top,1.0,0.5,55.33,1
Rice Chex,Ralston Purina,Cold,110,1,0,240,0.0,23.0,2,30,25,Bottom,1.0,1.13,42.0,1
Rice Krispies,Kellogs,Cold,110,2,0,290,0.0,22.0,3,35,25,Bottom,1.0,1.0,40.56,1
Shredded Wheat,Nabisco,Cold,80,2,0,0,3.0,16.0,0,95,0,Bottom,0.83,1.0,68.24,1
Shredded Wheat 'n'Bran,Nabisco,Cold,90,3,0,0,4.0,19.0,0,140,0,Bottom,1.0,0.67,74.47,1
Shredded Wheat spoon size,Nabisco,Cold,90,3,0,0,3.0,20.0,0,120,0,Bottom,1.0,0.67,72.8,1
Smacks,Kellogs,Cold,110,2,1,70,1.0,9.0,15,40,25,Middle,1.0,0.75,31.23,1
Special K,Kellogs,Cold,110,6,0,230,1.0,16.0,3,55,25,Bottom,1.0,1.0,53.13,1
Strawberry Fruit Wheats,Nabisco,Cold,90,2,0,15,3.0,15.0,5,90,25,Middle,1.0,1.0,59.36,1
Total Corn Flakes,General Mills,Cold,110,2,1,200,0.0,21.0,3,35,100,Top,1.0,1.0,38.84,1
Total Raisin Bran,General Mills,Cold,140,3,1,190,4.0,15.0,14,230,100,Top,1.5,1.0,28.59,1
Total Whole Grain,General Mills,Cold,100,3,1,200,3.0,16.0,3,110,100,Top,1.0,1.0,46.66,1
Triples,General Mills,Cold,110,2,1,250,0.0,21.0,3,60,25,Top,1.0,0.75,39.11,1
Trix,General Mills,Cold,110,1,1,140,0.0,13.0,12,25,25,Middle,1.0,1.0,27.75,1
Wheat Chex,Ralston Purina,Cold,100,3,1,230,3.0,17.0,3,115,25,Bottom,1.0,0.67,49.79,1
Wheaties,General Mills,Cold,100,3,1,200,3.0,17.0,3,110,25,Bottom,1.0,1.0,51.59,1
Wheaties Honey Gold,General Mills,Cold,110,2,1,200,1.0,16.0,8,60,25,Bottom,1.0,0.75,36.19,1
