Account_Num,Facility Name,Address,City,State,ZIP Code,County Name,Phone Number,Hospital Type,Hospital Ownership
10605,SAGE MEMORIAL HOSPITAL,STATE ROUTE 264 SOUTH 191,GANADO,AZ,86505,APACHE,(928) 755-4541,Critical Access Hospitals,Voluntary non-profit - Private
24250,WOODRIDGE BEHAVIORAL CENTER,600 NORTH 7TH STREET,WEST MEMPHIS,AR,72301,CRITTENDEN,(870) 394-4113,Psychiatric,Proprietary
10341,DOUGLAS GARDENS HOSPITAL,5200 NE 2ND AVE,MIAMI,FL,33137,MIAMI-DADE,(305) 751-8626,Acute Care Hospitals,Voluntary non-profit - Private
81101,SUNCOAST BEHAVIORAL HEALTH CENTER,4480 51ST ST W,BRADENTON,FL,34210,MANATEE,(941) 792-2222,Psychiatric,Proprietary
39835,TREASURE VALLEY HOSPITAL,8800 WEST EMERALD STREET,BOISE,ID,83704,ADA,(208) 373-5000,Acute Care Hospitals,Proprietary
48460,INTERMOUNTAIN HOSPITAL,303 NORTH ALLUMBAUGH STREET,BOISE,ID,83704,ADA,(208) 377-8400,Psychiatric,Proprietary
30098,CHOATE MENTAL HEALTH & DEVELOPMENT CTR,1000 N MAIN ST,ANNA,IL,62906,UNION,(618) 833-5161,Psychiatric,Government - State
92639,GOODLAND REGIONAL MEDICAL CENTER,220 WEST SECOND STREET,GOODLAND,KS,67735,SHERMAN,(785) 890-3625,Critical Access Hospitals,Government - Local
86448,SPRING HARBOR HOSPITAL,123 ANDOVER ROAD,WESTBROOK,ME,4092,CUMBERLAND,(207) 761-2200,Psychiatric,Government - Federal
28455,EASTERN SHORE HOSPITAL CENTER,POST OFFICE BOX 800,CAMBRIDGE,MD,21613,DORCHESTER,(410) 221-2525,Psychiatric,Government - State
79639,CHOCTAW REGIONAL MEDICAL CENTER,8613 MS HWY 12,ACKERMAN,MS,39735,CHOCTAW,(662) 285-4400,Critical Access Hospitals,Government - Local
58893,ST LOUIS CHILDRENS HOSPITAL,ONE CHILDRENS PLACE,SAINT LOUIS,MO,63110,ST. LOUIS CITY,(314) 454-6000,Childrens,Voluntary non-profit - Other
74127,NEW HAMPSHIRE HOSP-PSYCH UNIT,36 CLINTON STREET,CONCORD,NH,3301,MERRIMACK,(603) 271-5300,Psychiatric,Government - State
61498,UNION COUNTY GENERAL HOSPITAL,300 WILSON STREET,CLAYTON,NM,88415,UNION,(575) 374-7001,Critical Access Hospitals,Voluntary non-profit - Other
59519,MARIA PARHAM MEDICAL CENTER,PO BOX 59,HENDERSON,NC,27536,VANCE,(252) 431-3708,Acute Care Hospitals,Proprietary
39426,CHEROKEE INDIAN HOSPITAL AUTHORITY,CALLER BOX C268,CHEROKEE,NC,28719,SWAIN,(704) 497-9163,Acute Care Hospitals,Government - Federal
26704,ALLEGHANY COUNTY MEMORIAL HOSPITAL,617 DOCTORS STREET,SPARTA,NC,28675,ALLEGHANY,(336) 372-5511,Critical Access Hospitals,Voluntary non-profit - Private
71330,AKRON CHILDREN'S HOSPITAL,1 PERKINS SQUARE,AKRON,OH,44308,SUMMIT,(330) 543-1000,Childrens,Voluntary non-profit - Private
30887,JEFFERSON COUNTY HOSPITAL,INTERSECTION HYWS 81 & 70,WAURIKA,OK,73573,JEFFERSON,(580) 228-2344,Critical Access Hospitals,Voluntary non-profit - Private
64340,HOSPITAL SAN FRANCISCO,371 DE DIEGO AVE,SAN JUAN,PR,923,SAN JUAN,(787) 767-5100,Acute Care Hospitals,Proprietary
53067,NH Oak Harbor,3475 North Saratoga Street,Oak Harbor,WA,98277,ISLAND,(360) 257-9500,Acute Care - Department of Defense,Department of Defense
89453,SMOKEY POINT BEHAVIORAL HOSPITAL,3955 156TH ST NE,MARYSVILLE,WA,98271,SNOHOMISH,(212) 243-5565,Psychiatric,Proprietary
51675,ADVENTIST HEALTHCARE WHITE OAK MEDICAL CENTER,12100 PLUM ORCHARD DRIVE,SILVER SPRING,MD,20904,MONTGOMERY,(301) 891-5651,Acute Care Hospitals,Voluntary non-profit - Private
66832,MEMORIAL CARE MILLER CHILDREN'S &  WOMEN'S HOSP LB,2801 ATLANTIC AVENUE,LONG BEACH,CA,90806,LOS ANGELES,(562) 933-8001,Childrens,Voluntary non-profit - Other
83753,ADVENTHEALTH LAKE WALES,410 S 11TH ST,LAKE WALES,FL,33853,POLK,(863) 676-1433,Acute Care Hospitals,Proprietary
48943,HILL HOSPITAL OF SUMTER COUNTY,751 DERBY DRIVE,YORK,AL,36925,SUMTER,(205) 392-5263,Acute Care Hospitals,Voluntary non-profit - Other
89403,MOUNT WASHINGTON PEDIATRIC HOSPITAL,1708 WEST ROGERS AVENUE,BALTIMORE,MD,21209,BALTIMORE CITY,(410) 578-5050,Childrens,Voluntary non-profit - Private
71617,NEWARK BETH ISRAEL MEDICAL CENTER,201 LYONS AVE,NEWARK,NJ,7112,ESSEX,(973) 926-7850,Acute Care Hospitals,Voluntary non-profit - Private
39365,HOLY CROSS HOSPITAL,2701 W 68TH STREET,CHICAGO,IL,60629,COOK,(773) 884-9000,Acute Care Hospitals,Voluntary non-profit - Private
69359,DAVIS COUNTY HOSPITAL,509 NORTH MADISON STREET,BLOOMFIELD,IA,52537,DAVIS,(641) 664-2145,Critical Access Hospitals,Government - Local
76253,CENTRAL FLORIDA BEHAVIORAL HOSPITAL,6601 CENTRAL FLORIDA PARKWAY,ORLANDO,FL,32821,ORANGE,(407) 370-0111,Psychiatric,Proprietary
33357,FRANCES MAHON DEACONESS HOSPITAL,621 3RD ST S,GLASGOW,MT,59230,VALLEY,(406) 228-3500,Critical Access Hospitals,Voluntary non-profit - Private
54812,81st Medical Group (Keesler AFB),81 MDG 301 Fisher St. Suite 109,Biloxi,MS,39530,HARRISON,(228) 377-6393,Acute Care - Department of Defense,Department of Defense
69333,PIONEER MEMORIAL HOSPITAL,564 E PIONEER DRIVE,HEPPNER,OR,97836,MORROW,(541) 676-9133,Critical Access Hospitals,Government - Hospital District or Authority
14559,AIKEN REGIONAL MEDICAL CENTER,302 UNIVERSITY PARKWAY,AIKEN,SC,29801,AIKEN,(803) 641-5900,Acute Care Hospitals,Proprietary
86733,FOUR COUNTY COUNSELING CENTER,1015 MICHIGAN AVE,LOGANSPORT,IN,46947,CASS,(574) 722-5151,Psychiatric,Voluntary non-profit - Private
72529,HIGHPOINT HEALTH,600 WILSON CREEK RD,LAWRENCEBURG,IN,47025,DEARBORN,(812) 537-1010,Acute Care Hospitals,Government - Local
33748,PRISMA HEALTH BAPTIST PARKRIDGE,400 PALMETTO HEALTH PARKWAY,COLUMBIA,SC,29212,LEXINGTON,(803) 907-7011,Acute Care Hospitals,Voluntary non-profit - Private
66907,ST JOSEPH'S HOSPITAL,45 WEST 10TH STREET,SAINT PAUL,MN,55102,RAMSEY,(651) 232-3000,Acute Care Hospitals,Voluntary non-profit - Private
66220,NATCHAUG HOSPITAL,189 STORRS RD,MANSFIELD CENTER,CT,6250,TOLLAND,(860) 456-1311,Psychiatric,Voluntary non-profit - Private
73487,MEMORIAL HERMANN NORTHEAST HOSPITAL,18951 MEMORIAL NORTH,HUMBLE,TX,77338,HARRIS,(281) 540-7700,Acute Care Hospitals,Voluntary non-profit - Private
90482,PERMIAN REGIONAL MEDICAL CENTER ANDREWS COUNTY HO,720 HOSPITAL DRIVE,ANDREWS,TX,79714,ANDREWS,(432) 523-2200,Acute Care Hospitals,Government - Hospital District or Authority
22313,PHOENIXVILLE HOSPITAL,140 NUTT ROAD,PHOENIXVILLE,PA,19460,CHESTER,(610) 983-1000,Acute Care Hospitals,Proprietary
42159,HAZARD ARH REGIONAL MEDICAL CENTER,100 MEDICAL CENTER DRIVE,HAZARD,KY,41701,PERRY,(606) 439-6600,Acute Care Hospitals,Voluntary non-profit - Private
57370,IROQUOIS MEMORIAL HOSPITAL,200 FAIRMAN STREET,WATSEKA,IL,60970,IROQUOIS,(815) 432-5201,Acute Care Hospitals,Voluntary non-profit - Private
16679,HANSEN FAMILY HOSPITAL,920 SOUTH OAK STREET,IOWA FALLS,IA,50126,HARDIN,(641) 648-4631,Critical Access Hospitals,Government - Local
77771,COMPASS BEHAVIORAL CENTER OF LAFAYETTE,312 YOUNGSVILLE HIGHWAY,LAFAYETTE,LA,70508,LAFAYETTE,(337) 534-4655,Psychiatric,Proprietary
49078,ST JOSEPH MEDICAL CENTER,2500 BERNVILLE ROAD,READING,PA,19605,BERKS,(610) 378-2000,Acute Care Hospitals,Voluntary non-profit - Church
52258,FERRELL HOSPITAL COMMUNITY FOUNDATIONS,1201 PINE STREET,ELDORADO,IL,62930,SALINE,(618) 273-3361,Critical Access Hospitals,Voluntary non-profit - Private
24971,TAHOE FOREST HOSPITAL,10121 PINE AVE,TRUCKEE,CA,96161,NEVADA,(530) 587-6011,Critical Access Hospitals,Government - Hospital District or Authority
48477,COLUMBIA MEMORIAL HOSPITAL,2111 EXCHANGE STREET,ASTORIA,OR,97103,CLATSOP,(503) 325-4321,Critical Access Hospitals,Proprietary
28558,ASCENSION COLUMBIA ST MARY'S HOSPITAL OZAUKEE,13111 N PORT WASHINGTON RD,MEQUON,WI,53097,OZAUKEE,(414) 585-1374,Acute Care Hospitals,Voluntary non-profit - Church
57625,MISSISSIPPI BAPTIST MEDICAL CENTER,1225 N STATE ST,JACKSON,MS,39202,HINDS,(601) 968-1000,Acute Care Hospitals,Voluntary non-profit - Private
47429,AUXILIO MUTUO HOSPITAL,PONCE DE LEON AVENUE STOP 37 1/2,HATO REY,PR,918,SAN JUAN,(787) 758-2000,Acute Care Hospitals,Voluntary non-profit - Private
13906,"CIRCLES OF CARE, INC",400 E SHERIDAN RD,MELBOURNE,FL,32901,BREVARD,(321) 984-4900,Psychiatric,Voluntary non-profit - Private
22940,LUTHERAN HOSPITAL OF INDIANA,7950 W JEFFERSON BLVD,FORT WAYNE,IN,46804,ALLEN,(260) 435-7001,Acute Care Hospitals,Proprietary
23925,USC VERDUGO HILLS HOSPITAL,1812 VERDUGO BLVD,GLENDALE,CA,91209,LOS ANGELES,(818) 790-7100,Acute Care Hospitals,Voluntary non-profit - Private
17213,BRAXTON COUNTY MEMORIAL HOSPITAL,100 HOYLMAN DRIVE,GASSAWAY,WV,26624,BRAXTON,(304) 364-5156,Critical Access Hospitals,Voluntary non-profit - Private
88954,SULLIVAN COUNTY MEMORIAL HOSPITAL,630 WEST THIRD STREET,MILAN,MO,63556,SULLIVAN,(660) 265-4212,Critical Access Hospitals,Government - Local
39339,CENTRAL DUPAGE HOSPITAL,25 NORTH WINFIELD ROAD,WINFIELD,IL,60190,DU PAGE,(630) 682-1600,Acute Care Hospitals,Voluntary non-profit - Private
19891,UTAH STATE HOSPITAL,1300 EAST CENTER STREET,PROVO,UT,84605,UTAH,(801) 344-4400,Psychiatric,Government - State
55272,SCOTTSDALE OSBORN MEDICAL CENTER,7400 EAST OSBORN ROAD,SCOTTSDALE,AZ,85251,MARICOPA,(480) 882-4004,Acute Care Hospitals,Proprietary
87779,REGIONAL WEST GARDEN COUNTY HOSPITAL,1100 WEST 2ND ST,OSHKOSH,NE,69154,GARDEN,(308) 772-3283,Critical Access Hospitals,Voluntary non-profit - Private
86774,DECATUR COUNTY HOSPITAL,810 W  COLUMBIA STREET,OBERLIN,KS,67749,DECATUR,(785) 475-2208,Critical Access Hospitals,Voluntary non-profit - Private
22439,RIVERWOODS BEHAVIORAL HEALTH SYSTEM,223 MEDICAL CENTER DRIVE,RIVERDALE,GA,30274,CLAYTON,(770) 991-8500,Psychiatric,Proprietary
21074,BACON COUNTY HOSPITAL,302 SOUTH WAYNE STREET,ALMA,GA,31510,BACON,(912) 632-8961,Critical Access Hospitals,Voluntary non-profit - Other
67597,SINAI-GRACE HOSPITAL,6071 W OUTER DRIVE,DETROIT,MI,48235,WAYNE,(313) 966-3300,Acute Care Hospitals,Proprietary
57394,HENRY FORD HOSPITAL,2799 W GRAND BLVD,DETROIT,MI,48202,WAYNE,(313) 916-2600,Acute Care Hospitals,Voluntary non-profit - Private
27371,Darnall AMC (FT Hood),36000 Darnall Loop,Fort Hood,TX,76544,BELL,(254) 288-8000,Acute Care - Department of Defense,Department of Defense
60635,SAINT CLARE'S HOSPITAL/ DENVILLE CAMPUS,25 POCONO ROAD,DENVILLE,NJ,7834,MORRIS,(973) 983-5569,Acute Care Hospitals,Proprietary
75731,HOSPITAL MENONITA GUAYAMA,AVE. PEDRO ALBIZU CAMPOS URB. LA HACIENDA,GUAYAMA,PR,785,GUAYANILLA,(787) 864-4300,Acute Care Hospitals,Voluntary non-profit - Church
27337,ADVENTHEALTH CENTRAL TEXAS,2201 S CLEAR CREEK ROAD,KILLEEN,TX,76542,BELL,(254) 526-7523,Acute Care Hospitals,Voluntary non-profit - Church
33556,WAYNE MEMORIAL HOSPITAL,2700 WAYNE MEMORIAL DR,GOLDSBORO,NC,27534,WAYNE,(919) 736-1110,Acute Care Hospitals,Voluntary non-profit - Private
63071,PIONEERS MEDICAL CENTER,100 PIONEERS MEDICAL CENTER DR,MEEKER,CO,81641,RIO BLANCO,(970) 878-5047,Critical Access Hospitals,Government - Hospital District or Authority
70110,WELLSPAN EPHRATA COMMUNITY HOSPITAL,169 MARTIN AVENUE,EPHRATA,PA,17522,LANCASTER,(717) 733-0311,Acute Care Hospitals,Voluntary non-profit - Other
86778,MEDICAL CITY WEATHERFORD,713 E ANDERSON ST,WEATHERFORD,TX,76086,PARKER,(817) 599-1190,Acute Care Hospitals,Proprietary
67152,BEAUMONT HOSPITAL - WAYNE,33155 ANNAPOLIS AVE,WAYNE,MI,48184,WAYNE,(734) 467-4175,Acute Care Hospitals,Voluntary non-profit - Private
27857,ALASKA REGIONAL HOSPITAL,2801 DEBARR ROAD,ANCHORAGE,AK,99508,ANCHORAGE,(907) 276-1131,Acute Care Hospitals,Proprietary
47252,MEMORIAL HEALTHCARE,826 WEST KING STREET,OWOSSO,MI,48867,SHIAWASSEE,(989) 723-5211,Acute Care Hospitals,Voluntary non-profit - Other
24009,WEEKS MEDICAL CENTER,173 MIDDLE STREET,LANCASTER,NH,3584,COOS,(603) 788-4911,Critical Access Hospitals,Voluntary non-profit - Private
79195,"COMPASS BEHAVIORAL CENTER OF ALEXANDRIA, INC",6410 MASONIC DRIVE,ALEXANDRIA,LA,71301,RAPIDES,(318) 442-3163,Psychiatric,Proprietary
73734,CENTRAL VALLEY MEDICAL CENTER - CAH,48 WEST 1500 NORTH,NEPHI,UT,84648,JUAB,(435) 623-3000,Critical Access Hospitals,Voluntary non-profit - Private
88443,PENOBSCOT BAY MEDICAL CENTER,6 GLEN COVE DRIVE,ROCKPORT,ME,4856,KNOX,(207) 921-8000,Acute Care Hospitals,Voluntary non-profit - Private
60397,COMMUNITY MEMORIAL HOSPITAL,1755 NORTH MECKLENBURG AVENUE,SOUTH HILL,VA,23970,MECKLENBURG,(434) 447-3151,Acute Care Hospitals,Voluntary non-profit - Private
91870,LAFAYETTE SURGICAL SPECIALTY HOSPITAL,1101 KALISTE SALOOM RD,LAFAYETTE,LA,70508,LAFAYETTE,(337) 769-4100,Acute Care Hospitals,Proprietary
75733,ST VINCENT HOSPITAL,835 S VAN BUREN ST,GREEN BAY,WI,54301,BROWN,(920) 433-0111,Acute Care Hospitals,Voluntary non-profit - Church
83290,FORT MADISON COMMUNITY HOSPITAL,5445 AVE O,FORT MADISON,IA,52627,LEE,(319) 372-6530,Acute Care Hospitals,Voluntary non-profit - Private
65190,RANKEN JORDAN PEDIATRIC BRIDGE HOSPITAL,11365 DORSETT ROAD,MARYLAND HEIGHTS,MO,63043,ST. LOUIS,(314) 872-6400,Childrens,Voluntary non-profit - Private
36127,OCHSNER ST ANNE GENERAL HOSPITAL,4608 HIGHWAY 1,RACELAND,LA,70394,LAFOURCHE,(985) 537-8377,Critical Access Hospitals,Voluntary non-profit - Private
73041,COMMUNITY HOSPITAL,2000 CAMPBELL DRIVE,TORRINGTON,WY,82240,GOSHEN,(307) 532-4181,Critical Access Hospitals,Voluntary non-profit - Private
89729,PIONEER MEMORIAL HOSPITAL - CAH,315 N WASHINGTON AVE  POST OFFICE BOX 368,VIBORG,SD,57070,TURNER,(605) 326-5161,Critical Access Hospitals,Voluntary non-profit - Private
