,School Name,City,State,District Name,Model Selected,Award_Amount,Region
0,HOGARTH KINGEEKUK MEMORIAL SCHOOL,SAVOONGA,AK,BERING STRAIT SCHOOL DISTRICT,Transformation,471014,West
1,AKIACHAK SCHOOL,AKIACHAK,AK,YUPIIT SCHOOL DISTRICT,Transformation,520579,West
2,GAMBELL SCHOOL,GAMBELL,AK,BERING STRAIT SCHOOL DISTRICT,Transformation,449592,West
3,BURCHELL HIGH SCHOOL,WASILLA,AK,MATANUSKA-SUSITNA BOROUGH SCHOOL DISTRICT,Transformation,641184,West
4,AKIAK SCHOOL,AKIAK,AK,YUPIIT SCHOOL DISTRICT,Transformation,399686,West
5,MIDVALLEY HIGH,WASILLA,AK,MATANUSKA-SUSITNA BOROUGH SCHOOL DISTRICT,Restart,697703,West
6,TULUKSAK SCHOOL,TULUKSAK,AK,YUPIIT SCHOOL DISTRICT,Transformation,427658,West
7,CAPITOL HEIGHTS JR HIGH SCH,MONTGOMERY,AL,MONTGOMERY COUNTY,Transformation,110544,South
8,LOWNDES CO MIDDLE SCH,FORT DEPOSIT,AL,LOWNDES COUNTY,Transformation,12973,South
9,CENTRAL MIDDLE SCH,ROCKFORD,AL,COOSA COUNTY,Transformation,199828,South
10,BELLINGRATH JR HIGH SCH,MONTGOMERY,AL,MONTGOMERY COUNTY,Transformation,165903,South
11,HAYNEVILLE MIDDLE SCH,HAYNEVILLE,AL,LOWNDES COUNTY,Transformation,121657,South
12,SOUTHLAWN MIDDLE SCH,MONTGOMERY,AL,MONTGOMERY COUNTY,Transformation,914557,South
13,CONTINUOUS LEARNING CTR,MOBILE,AL,MOBILE COUNTY,Transformation,198953,South
14,JACKSON-STEELE ELEM SCH,HAYNEVILLE,AL,LOWNDES COUNTY,Transformation,118394,South
15,MCINTYRE MIDDLE SCH,MONTGOMERY,AL,MONTGOMERY COUNTY,Transformation,143238,South
16,JOHN ESSEX HIGH SCH,DEMOPOLIS,AL,MARENGO COUNTY,Transformation,151116,South
17,CALHOUN HIGH SCH,LETOHATCHEE,AL,LOWNDES COUNTY,Transformation,163619,South
18,OSCEOLA MIDDLE SCHOOL,OSCEOLA,AR,OSCEOLA SCHOOL DISTRICT,Transformation,665000,South
19,HALL HIGH SCHOOL,LITTLE ROCK,AR,LITTLE ROCK SCHOOL DISTRICT,Transformation,198728,South
20,ROSE CITY MIDDLE SCHOOL,NORTH LITTLE ROCK,AR,N. LITTLE ROCK SCHOOL DISTRICT,Transformation,991451,South
21,TRUSTY ELEMENTARY SCHOOL,FORT SMITH,AR,FORT SMITH SCHOOL DISTRICT,Transformation,990135,South
22,J.A. FAIR HIGH SCHOOL,LITTLE ROCK,AR,LITTLE ROCK SCHOOL DISTRICT,Transformation,197012,South
23,OSCEOLA HIGH SCHOOL,OSCEOLA,AR,OSCEOLA SCHOOL DISTRICT,Transformation,695000,South
24,CLOVERDALE MIDDLE SCHOOL,LITTLE ROCK,AR,LITTLE ROCK SCHOOL DISTRICT,Transformation,198783,South
25,GADSDEN ELEMENTARY SCHOOL,GADSDEN,AZ,GADSDEN ELEMENTARY DISTRICT,Transformation,847003,West
26,EAST VALLEY HIGH SCHOOL,MESA,AZ,LEGACY EDUCATION GROUP,Turnaround,381512,West
27,CRITTENTON YOUTH ACADEMY,PHOENIX,AZ,FLORENCE CRITTENTON SERVICES OF ARIZONA  INC.,Turnaround,915959,West
28,ALCHESAY HIGH SCHOOL,WHITERIVER,AZ,WHITERIVER UNIFIED DISTRICT,Transformation,812195,West
29,SAN CARLOS HIGH SCHOOL,SAN CARLOS,AZ,SAN CARLOS UNIFIED DISTRICT,Transformation,928654,West
30,PIMA PARTNERSHIP SCHOOL  THE,TUCSON,AZ,PIMA PREVENTION PARTNERSHIP DBA PIMA PARTNERSHIP SCHOOL  THE,Turnaround,818238,West
31,LA PUERTA HIGH SCHOOL,PHOENIX,AZ,OMEGA SCHOOLS D.B.A. OMEGA ACADEMY  INC.,Turnaround,634503,West
32,PROJECT MORE HIGH SCHOOL,TUCSON,AZ,TUCSON UNIFIED DISTRICT,Transformation,836556,West
33,PEACH SPRINGS SCHOOL,PEACH SPRINGS,AZ,PEACH SPRINGS UNIFIED DISTRICT,Transformation,880050,West
34,WHITE CONE HIGH SCHOOL,WHITE CONE,AZ,CEDAR UNIFIED DISTRICT,Transformation,728696,West
35,JAMES SANDOVAL PREPARATORY HIGH SCHOOL,PHOENIX,AZ,JAMES SANDOVAL PREPARATORY HIGH SCHOOL,Transformation,696668,West
36,SEVEN MILE SCHOOL,WHITERIVER,AZ,WHITERIVER UNIFIED DISTRICT,Transformation,826589,West
37,Rice Elementary School,San Carlos,AZ,San Carlos Unified District,Transformation,204246,West
38,HOWENSTINE HIGH SCHOOL,TUCSON,AZ,TUCSON UNIFIED DISTRICT,Transformation,760314,West
39,BABOQUIVARI HIGH SCHOOL,SELLS,AZ,INDIAN OASIS-BABOQUIVARI UNIFIED DISTRICT,Turnaround,558022,West
40,IMAGINE ELEMENTARY AT CAMELBACK,PHOENIX,AZ,IMAGINE CHARTER ELEMENTARY AT CAMELBACK  INC.,Turnaround,696520,West
